1.1.1;Деятельность организации здравоохранения осуществляется в соответствии с Уставом, правилами внутреннего трудового распорядка	
1.1.2;В организации здравоохранения имеются условия для формирования и ведения электронных медицинских документов. Медицинские работники владеют навыками работы в медицинской информационной системе	
1.1.3;Помещение детей в дом ребенка осуществляется в соответствии с требованиями законодательства	
1.1.4;Осуществляется своевременное направление воспитанников на медико-социальную экспертизу	
1.1.5;В организации здравоохранения утвержден порядок организации и проведения экспертизы качества медицинской помощи, оценки качества медицинской помощи и медицинских экспертиз в соответствии с требованиями законодательства. Определены лица, ответственные за организацию проведения экспертизы качества медицинской помощи, оценки качества медицинской помощи и медицинских экспертиз 	
1.1.6;Во всех структурных подразделениях проводится оценка качества медицинской помощи и осуществляется контроль за ее проведением	
1.1.7;В организации здравоохранения организовано наставничество	
1.1.8;В организации здравоохранения определен порядок проведения обучения медицинских работников оказанию экстренной медицинской помощи, правилам эксплуатации медицинской техники, требованиям санитарно-эпидемиологического режима. Обучение планируется и проводится в соответствии с планом, отработкой практических навыков и контролем полученных знаний	
1.1.9;Организована работа с обращениями граждан и юридических лиц в соответствии с требованиями законодательства	
1.1.10;В организации здравоохранения соблюдаются права ребенка на получение безопасной и эффективной медицинской помощи, имеются условия для организации среды, дружественной детям (наличие и правильная организация игровых комнат, красочное оформление стен холлов, коридоров и другое)	
1.1.11;В организации здравоохранения имеются условия для освоения образовательных программ и оказания коррекционно-педагогической помощи детям в соответствии с требованиями законодательства	
1.2.1;Соответствие штатного расписания нормативу кадрового обеспечения в расчете на численность детей с учетом объемов медицинской помощи и других услуг. В соответствии со штатным расписанием на каждую должность служащего (далее – должность) медицинского работника руководителем утверждена должностная инструкция с указанием квалификационных требований, функций, прав и обязанностей медицинского работника. Медицинские работники ознакомлены с должностными инструкциями	
1.2.2;Наличие квалификационных категорий у специалистов с высшим медицинским, со средним медицинским образованием от лиц, подлежащих профессиональной аттестации, не менее 75 %. В организации здравоохранения проводится работа по обучению/повышению квалификации медицинских работников (определяется потребность в проведении обучения/повышения квалификации, осуществляется планирование и контроль проведения). Организовано обучение медицинских работников на рабочем месте	
1.2.3;Квалификация медицинских работников соответствует требованиям должностной инструкции. Должностные инструкции медицинских работников содержат квалификационные требования в соответствии с законодательством	
1.2.4;Коэффициент совместительства медицинских работников с высшим медицинским образованием составляет не более 1,5. Коэффициент совместительства медицинских работников со средним медицинским образованием составляет не более 1,5	
1.3.1;Материально-техническая база организации здравоохранения соответствует утвержденному табелю оснащения изделиями медицинского назначения и медицинской техникой 	
1.3.2;Организован учет медицинской техники	
1.3.3;Медицинская техника, находящаяся в эксплуатации в структурных подразделениях, обеспечена техническим обслуживанием и (или) ремонтом. Заключены договоры на выполнение данных услуг. Проведение технического обслуживания и (или) ремонта медицинской техники документируется в структурных подразделениях. Своевременно проводится государственная поверка средств измерений. Обеспечена эффективность использования медицинской техники с учетом сменности. Отсутствуют случаи необоснованного простоя дорогостоящего оборудования	
1.4.1;Здания, помещения и созданные в них условия соответствуют требованиям законодательства в области санитарно-эпидемиологического благополучия населения	
1.5.1;Наличие локального правового акта (далее – ЛПА), регламентирующего порядок работы по приобретению, хранению, реализации, отпуску (распределению) наркотических средств, психотропных веществ и их прекурсоров	
1.5.2;Организовано обеспечение лекарственными препаратами и  изделиями медицинского назначения в соответствии с Республиканским формуляром лекарственных средств и Республиканским формуляром медицинских изделий. Организовано обеспечение неинвазивными формами наркотических средств	
1.5.3;Соблюдается порядок учета лекарственных препаратов, подлежащих предметно-количественному учету, и изделий медицинского назначения. Обеспечено хранение лекарственных препаратов и изделий медицинского назначения в соответствии с требованиями законодательства. Проводится контроль за условиями хранения и сроками годности	
1.5.4;Организовано лечебное питание в соответствии с требованиями законодательства	
1.6.1;Профилактические прививки выполнены в соответствии с Национальным календарем профилактических прививок в соответствии с требованиями законодательства	
1.6.2;Определен порядок оформления отказа от проведения профилактической прививки	
1.6.3;Определен порядок выявления, регистрации и расследования случаев серьезных побочных реакций на профилактические прививки, направления внеочередной информации о серьезной побочной реакции после профилактической прививки	
1.6.4;Определен порядок транспортировки, хранения и уничтожения иммунобиологических лекарственных средств, а также хранения и использования хладоэлементов в соответствии  с Надлежащей практикой хранения лекарственных средств, утвержденной постановлением Министерства здравоохранения Республики Беларусь от 23 октября 2020 г. № 88	
1.7.1;Наличие в организации здравоохранения условий, позволяющих лицам с ограниченными возможностями получать медицинские услуги наравне с другими пациентами. Наличие места для хранения детских колясок	
1.7.2;Обеспечена круглосуточная работа врачей-специалистов	
1.7.3;Определен порядок взаимодействия с другими организациями здравоохранения	
1.7.4;Обеспечение лиц с ограниченными возможностями техническими средствами социальной реабилитации в соответствии с требованиями законодательства	
1.7.5;Определен порядок перевода воспитанников в другие организации здравоохранения	
1.7.6;Обеспечено оказание паллиативной медицинской помощи вне организации здравоохранения выездной паллиативной службой	
1.8.1;Наличие ЛПА, регламентирующего порядок организации оказания экстренной и неотложной медицинской помощи воспитанникам. Утверждены алгоритмы оказания экстренной медицинской и неотложной помощи, соответствующие условиям оказания медицинской помощи в структурных подразделениях организации здравоохранения	
1.8.2;Наличие лекарственных препаратов, медицинских изделий (изделий медицинского назначения, медицинской техники) для оказания экстренной и неотложной медицинской помощи в соответствии с требованиями законодательства	
1.9.1;Наличие ЛПА, регламентирующего порядок организации и проведения диспансеризации и (или) медицинского наблюдения воспитанников в соответствии с требованиями законодательства	
1.9.2;Наличие ЛПА, регламентирующего порядок оказания паллиативной медицинской помощи в соответствии с требованиями законодательства (при условии оказания паллиативной медицинской помощи детям)	
1.9.3;Наличие ЛПА, регламентирующего порядок организации и проведения медицинской реабилитации, медицинской абилитации (далее – медицинская реабилитация), порядок направления на медицинскую реабилитацию в соответствии с требованиями законодательства. Определено лицо, ответственное за организацию и проведение медицинской реабилитации в организации здравоохранения	
1.9.4;Проведение врачебных консультаций (консилиумов) в соответствии с требованиями законодательства	
1.9.5;Организована работа врачебно-консультационных комиссий в соответствии с требованиями законодательства 	
1.9.6;Обеспечено наличие специальных медицинских изделий для профилактики и лечения пролежней. Определен комплекс профилактических мероприятий по предупреждению развития пролежней. Определены функциональные обязанности работников структурных подразделений по осуществлению мероприятий по уходу за лежачими пациентами	
1.9.7;Определен порядок направления на патологоанатомические вскрытия умерших. Проводится анализ случаев расхождения клинических и патологоанатомических диагнозов	
1.9.8;Перевод детей в группу паллиативной медицинской помощи, изменение группы паллиативной медицинской помощи или вывод из группы паллиативной медицинской помощи осуществляется врачебным консилиумом с участием специалиста детской паллиативной медицинской помощи	
1.9.9;Определен порядок оказания паллиативной медицинской помощи детям, нуждающимся в проведении длительной искусственной вентиляции легких в стационарных условиях и на дому	
